,주소,위도,경도
0,경기 양주시 백석읍 꿈나무로 199꿈나무도서관,37.792424,126.9845236
1,대구 달성군 현풍면 부리 247 (상수도사업본부 달성사업소)(현풍중앙로 144-34)상수도사업본부 달성사업소,35.6999534,128.4412756
2,경기 이천시 설성면 신필리산 88-5(전파연구소 입구),37.1387735,127.5449728
3,경기 포천시 삼육사로 2186번길 11-15선단보건지소,37.8533363,127.1570327
4,충북 음성군 금왕읍 무극로370 (금왕공설운동장내),36.9627761,127.5755361
5,경기 수원시 팔달구 인계동 1047동수원사거리,37.2772634,127.0287187
6,경북 영주시 휴천2동 318-4 (휴천2동주민센터)휴천2동주민센터,36.8211811,128.5824201
7,경기 광주시 중앙로 128농협중앙회,37.4119816,127.2521397
8,경기 용인시 처인구 모현읍 독점로 31-6모현읍주민자치센터,37.3294787,127.2400874
9,경기 이천시 영창로 163번길 28평생학습관 어르신쉼터,37.2834841,127.4386664
10,경기 용인시 처인구 백암면 백암로185번길 8-11백암면주민자치센터,37.1633689,127.3731702
11,경기 용인시 기흥구 관곡로 95기흥구청,37.2804055,127.11247
12,경기 안성시 시청길 25안성시청 식당동,37.008025,127.2776283
13,경기 평택시 중앙로 275평택학습센터,36.9972586,127.0325596
14,경기 포천시 일동면 화동로1099번길 30일동면행정복지센터,37.961189,127.3150833
15,경기 용인시 처인구 이동읍 경기동로 673이동읍주민자치센터,37.141091,127.1939933
16,경기 파주시 군내면 통일촌길220 (장단출장소 내),37.9062269,126.7288909
17,충남 당진시 송산면 유곡로 342-27공공하폐수처리시설,36.9676742,126.539011
18,경기 수원시 장안구 서부로 2066성균관대학교 제2공학관,36.9676742,126.539011
19,강원 춘천시 외솔길 17(석사동 322-1)강원도 개발공사 2층 옥상,37.8570697,127.7473079
20,경기 성남시 수정구 성남대로 1229모란역사거리,37.4359906,127.1239843
21,경기 용인시 기흥구 구갈동 505-3녹십자사거리,37.2751287,127.1113738
22,강원 홍천군 홍천읍 연봉동로 27홍천기상관측소,37.6837491,127.8780607
23,서울 양천구 중앙로52길 56신정4동 문화센터,37.5258013,126.851033
24,경기 안산시 단원구 산단로 112 근로복지관민주노총,37.3052549,126.7863141
25,경기 수원시 팔달구 효원로 241수원시청,37.2634061,127.0263954
26,충남 아산시 둔포면 석곡리 1481스틸하우스,36.9175609,127.0247226
27,경기 이천시 장호원읍 오남리 27재래시장 공영주차장,37.1154905,127.6288413
28,서울 동작구 사당로16아길 6사당4동 주민센터,37.4809275,126.9694092
29,서울 강동구 구천면로 42길 59천호1동 주민센터,37.5449847,127.1345993
30,경기 시흥시 공단1대로 204시화유통상가 27동,37.3351039,126.7250502
31,강원 정선군 정선읍 정선로 1331정선읍행정복지센터 옥상,37.3797555,128.6594842
32,서울 서초구 신반포로15길 16반포 2동 주민센터,37.504543,126.9923083
33,서울 강서구 강서로 45 다길 71 화곡3동푸른들청소년도서관,37.5445777,126.8332219
34,경기 양평군 용문면 용문로 395용문도서관,37.4871946,127.5940285
35,경기 안산시 상록구 성호로 326부곡동 행정복지센터,37.333041,126.8592243
36,경기 성남시 수정구 성남대로 1416번길 22복정정수장,37.4561557,127.1271627
37,경기 성남시 분당구 돌마로 242정자3동행정복지센터,37.3607847,127.1173006
38,충남 아산시 도고면 기곡리 296-4기곡1리 마을회관 지상,36.7632144,126.8888115
39,충북 음성군 음성읍 중앙로 49음성군보건소 옥상,36.9288475,127.6867299
40,경기 시흥시 정왕대로 233번길 19정왕보건지소,37.3467797,126.7378102
41,경기 부천시 경인옛로 73소사어울마당 소향관,37.4800422,126.7977451
42,충남 논산시 시민로389 (취암/부창동 행정복지센터 2층 옥상),36.1990725,127.0850064
43,충남 홍성군 홍성읍 내포로 136번길29 (느티나무 어린이집 옥상),36.5977022,126.6529441
44,"충북 제천시 장락동 672-8(내제로 318),(시립도서관 주차장 옆, 화단)의병도서관 지상",37.1379219,128.1958747
45,경기 부천시 심중로 121책마루도서관,37.4939289,126.7678865
46,충북 충주시 칠금동 874번지(칠금동 주민센터 옥상)(칠금 중랑로 37)칠금금릉동 주민센터 옥상,37.296182,126.3733528
47,경기 포천시 관인면사정리 140,38.1238246,127.250367
48,경기 여주시 여흥로11번길 26중앙동행정복지센터,37.2986528,127.626762
