,주소,위도,경도,지역,시군,ID
0,경기 양주시 백석읍 꿈나무로 199꿈나무도서관,37.792424,126.9845236,경기,양주,양주
1,대구 달성군 현풍면 부리 247 (상수도사업본부 달성사업소)(현풍중앙로 144-34)상수도사업본부 달성사업소,35.6999534,128.4412756,대구,달성,대구 달성
2,경기 이천시 설성면 신필리산 88-5(전파연구소 입구),37.1387735,127.54497279999998,경기,이천,이천
3,경기 포천시 삼육사로 2186번길 11-15선단보건지소,37.853336299999995,127.1570327,경기,포천,포천
4,충북 음성군 금왕읍 무극로370 (금왕공설운동장내),36.9627761,127.57553610000001,충북,음성,음성
5,경기 수원시 팔달구 인계동 1047동수원사거리,37.277263399999995,127.0287187,경기,수원,수원 팔달
6,경북 영주시 휴천2동 318-4 (휴천2동주민센터)휴천2동주민센터,36.8211811,128.58242009999998,경북,영주,영주
7,경기 광주시 중앙로 128농협중앙회,37.4119816,127.25213970000001,경기,광주,광주
8,경기 용인시 처인구 모현읍 독점로 31-6모현읍주민자치센터,37.3294787,127.24008740000001,경기,용인,용인 처인
9,경기 이천시 영창로 163번길 28평생학습관 어르신쉼터,37.2834841,127.43866640000002,경기,이천,이천
10,경기 용인시 처인구 백암면 백암로185번길 8-11백암면주민자치센터,37.1633689,127.3731702,경기,용인,용인 처인
11,경기 용인시 기흥구 관곡로 95기흥구청,37.2804055,127.11247,경기,용인,용인 기흥
12,경기 안성시 시청길 25안성시청 식당동,37.008025,127.2776283,경기,안성,안성
13,경기 평택시 중앙로 275평택학습센터,36.9972586,127.03255959999998,경기,평택,평택
14,경기 포천시 일동면 화동로1099번길 30일동면행정복지센터,37.961189000000005,127.31508329999998,경기,포천,포천
15,경기 용인시 처인구 이동읍 경기동로 673이동읍주민자치센터,37.141090999999996,127.1939933,경기,용인,용인 처인
16,경기 파주시 군내면 통일촌길220 (장단출장소 내),37.9062269,126.7288909,경기,파주,파주
17,충남 당진시 송산면 유곡로 342-27공공하폐수처리시설,36.967674200000005,126.53901100000002,충남,당진,당진
18,경기 수원시 장안구 서부로 2066성균관대학교 제2공학관,36.967674200000005,126.53901100000002,경기,수원,수원 장안
19,강원 춘천시 외솔길 17(석사동 322-1)강원도 개발공사 2층 옥상,37.857069700000004,127.74730790000001,강원,춘천,춘천
20,경기 성남시 수정구 성남대로 1229모란역사거리,37.435990600000004,127.12398429999999,경기,성남,성남 수정
21,경기 용인시 기흥구 구갈동 505-3녹십자사거리,37.2751287,127.1113738,경기,용인,용인 기흥
22,강원 홍천군 홍천읍 연봉동로 27홍천기상관측소,37.68374910000001,127.8780607,강원,홍천,홍천
23,서울 양천구 중앙로52길 56신정4동 문화센터,37.5258013,126.851033,서울,양천,서울 양천
24,경기 안산시 단원구 산단로 112 근로복지관민주노총,37.3052549,126.78631409999998,경기,안산,안산 단원
25,경기 수원시 팔달구 효원로 241수원시청,37.2634061,127.02639540000001,경기,수원,수원 팔달
26,충남 아산시 둔포면 석곡리 1481스틸하우스,36.9175609,127.0247226,충남,아산,아산
27,경기 이천시 장호원읍 오남리 27재래시장 공영주차장,37.1154905,127.62884129999999,경기,이천,이천
28,서울 동작구 사당로16아길 6사당4동 주민센터,37.4809275,126.9694092,서울,동작,서울 동작
29,서울 강동구 구천면로 42길 59천호1동 주민센터,37.5449847,127.1345993,서울,강동,서울 강동
30,경기 시흥시 공단1대로 204시화유통상가 27동,37.3351039,126.72505020000001,경기,시흥,시흥
31,강원 정선군 정선읍 정선로 1331정선읍행정복지센터 옥상,37.3797555,128.6594842,강원,정선,정선
32,서울 서초구 신반포로15길 16반포 2동 주민센터,37.504543,126.99230829999999,서울,서초,서울 서초
33,서울 강서구 강서로 45 다길 71 화곡3동푸른들청소년도서관,37.5445777,126.8332219,서울,강서,서울 강서
34,경기 양평군 용문면 용문로 395용문도서관,37.4871946,127.5940285,경기,양평,양평
35,경기 안산시 상록구 성호로 326부곡동 행정복지센터,37.333040999999994,126.85922430000001,경기,안산,안산 상록
36,경기 성남시 수정구 성남대로 1416번길 22복정정수장,37.456155700000004,127.12716270000001,경기,성남,성남 수정
37,경기 성남시 분당구 돌마로 242정자3동행정복지센터,37.3607847,127.11730060000001,경기,성남,성남 분당
